"Brand","Country"
"Happy Family","Singapore"
"Prima Taste","Singapore"
"Koka","Singapore"
"Maggi","Singapore"
"Snapdragon","Singapore"
"Samyang Foods","South Korea"
"Nongshim","South Korea"
"Paldo","South Korea"
"Ottogi","South Korea"
"Guava Story","South Korea"
"Wang","South Korea"
"Pulmuone","South Korea"
"Sempio","South Korea"
"Migawon","South Korea"
"Emart","South Korea"
"ChoripDong","South Korea"
"Hi-Myon","South Korea"
"Good Tto Leu Foods","South Korea"
"HoMyeonDang","South Korea"
"GS25","South Korea"
"Han's South Korea","South Korea"
"Song Hak","South Korea"
"CJ CheilJedang","South Korea"
"Dongwon","South Korea"
"Ohsung","South Korea"
"Samyang","South Korea"
"Sura","South Korea"
"Mr. Udon","South Korea"
"Six Fortune","South Korea"
"Haioreum","South Korea"
"O Sung","South Korea"
"Foodmon","South Korea"
"Sahmyook","South Korea"
"Noodle Time","South Korea"
"Rhee Bros Assi","South Korea"
"Bon Go Jang","South Korea"
"Saigon Ve Wong","South Korea"
"Chorip Dong","South Korea"
"Global Inspiration","South Korea"
"Sutah","South Korea"
"ICA","Sweden"
"Katoz","Sweden"
"Just Way","Taiwan"
"Wei Lih","Taiwan"
"Uni-President","Taiwan"
"Mom's Dry Noodle","Taiwan"
"Happy Cook","Taiwan"
"TTL","Taiwan"
"Kiki Noodle","Taiwan"
"GGE","Taiwan"
"Ve Wong","Taiwan"
"Little Cook","Taiwan"
"Xiao Ban Mian","Taiwan"
"Unif Tung-I","Taiwan"
"Love Cook","Taiwan"
"Tseng Noodles","Taiwan"
"A-Sha Dry Noodle","Taiwan"
"Choumama","Taiwan"
"Jingqi","Taiwan"
"Oni Hot Pot","Taiwan"
"Weh Lih","Taiwan"
"Vedan","Taiwan"
"Forest Noodles","Taiwan"
"Ten-In","Taiwan"
"Chering Chang","Taiwan"
"Wu-Mu","Taiwan"
"Lishan Food Manufacturing","Taiwan"
"Deshome","Taiwan"
"Long Jun Hang","Taiwan"
"Sau Tao","Taiwan"
"China Best","Taiwan"
"Unif","Taiwan"
"Amianda","Taiwan"
"Unif / Tung-I","Taiwan"
"Souper","Taiwan"
"Long Kow","Taiwan"
"Wu Mu","Taiwan"
"Lishan","Taiwan"
"Wei Chuan","Taiwan"
"Wei Wei","Taiwan"
"Sunlight","Taiwan"
"Nan Hsing","Taiwan"
"Hsin Tung Yang","Taiwan"
"iNoodle","Taiwan"
"Q","Taiwan"
"Sunny Maid","Taiwan"
"Tiger","Taiwan"
"Kim Ve Wong","Taiwan"
"Tung-I","Taiwan"
"Tao Kae Noi","Thailand"
"Fashion Food","Thailand"
"Nissin","Thailand"
"MAMA","Thailand"
"President Rice","Thailand"
"7 Select","Thailand"
"Zow Zow","Thailand"
"Bamee","Thailand"
"Yum Yum","Thailand"
"Mama","Thailand"
"Wai Wai","Thailand"
"Little Cook","Thailand"
"7 Select/Nissin","Thailand"
"Kin-Dee","Thailand"
"Ruski","Thailand"
"Thai Choice","Thailand"
"Papa","Thailand"
"Sunlee","Thailand"
"Kim's Bowl","Thailand"
"GreeNoodle","Thailand"
"Fashion Foods","Thailand"
"Mee Jang","Thailand"
"Knorr","Thailand"
"Royal Umbrella","Thailand"
"Boss","Thailand"
"Golden Mie","United Arab Emirates"
"Mr. Lee's Noodles","United Kingdom"
"Urban Noodle","United Kingdom"
"Kabuto Noodles","United Kingdom"
"Ko-Lee","United Kingdom"
"Sainsbury's","United Kingdom"
"Tesco","United Kingdom"
"Tiger Tiger","United Kingdom"
"Sawadee","United Kingdom"
"Batchelors","United Kingdom"
"Golden Wonder","United Kingdom"
"Pot Noodle","United Kingdom"
"Mug Shot","United Kingdom"
"Nissin","United States of America"
"Yamachan","United States of America"
"Jackpot Teriyaki","United States of America"
"Lipton","United States of America"
"Pringles","United States of America"
"Myojo","United States of America"
"Daifuku","United States of America"
"Dream Kitchen","United States of America"
"Dr. McDougall's","United States of America"
"Shirakiku","United States of America"
"Mama Pat's","United States of America"
"Goku-Uma","United States of America"
"Gefen","United States of America"
"Farmer's Heart","United States of America"
"Nongshim","United States of America"
"Maruchan","United States of America"
"Roland","United States of America"
"Koyo","United States of America"
"IbuRamen","United States of America"
"Fortune","United States of America"
"Thai Smile","United States of America"
"Sapporo Ichiban","United States of America"
"Crystal Noodle","United States of America"
"Authentically Asian","United States of America"
"One Dish Asia","United States of America"
"Thai Pavilion","United States of America"
"Osaka Ramen","United States of America"
"Annie Chun's","United States of America"
"Snapdragon","United States of America"
"Miracle Noodle","United States of America"
"Lotus Foods","United States of America"
"Sakura Noodle","United States of America"
"Thai Kitchen","United States of America"
"Komforte Chockolates","United States of America"
"Tasty Bite","United States of America"
"Star Anise Foods","United States of America"
"Tradition","United States of America"
"Sun Noodle","United States of America"
"S&S","United States of America"
"Right Foods","United States of America"
"Hosoonyi","United States of America"
"Mexi-Ramen","United States of America"
"Chikara","United States of America"
"US Canning","United States of America"
"Tayho","United States of America"
"Fu Chang Chinese Noodle Company","United States of America"
"Teriyaki Time","United States of America"
"Smack","United States of America"
"Westbrae","United States of America"
"Binh Tay","Vietnam"
"Uni-President","Vietnam"
"Mum Ngon","Vietnam"
"Vifon","Vietnam"
"Acecook","Vietnam"
"Thien Houng Foods","Vietnam"
"Vina Acecook","Vietnam"
"A-One","Vietnam"
"Paldo Vina","Vietnam"
"United","Vietnam"
"New Way","Vietnam"
"Miliket","Vietnam"
"Unif / Tung-I","Vietnam"
"Gau Do","Vietnam"
"Saigon Ve Wong","Vietnam"
"Omachi","Vietnam"
"Noah Foods","Vietnam"
"Ve Wong","Vietnam"
"Gomex","Vietnam"
